Date,DateKey,Year,Month,Day,Quarter,Weekday,Date_String
1908-09-19,19091908,1908,9,19,3,5,19-09-1908
1908-09-20,20091908,1908,9,20,3,6,20-09-1908
1908-09-21,21091908,1908,9,21,3,0,21-09-1908
1908-09-22,22091908,1908,9,22,3,1,22-09-1908
1908-09-23,23091908,1908,9,23,3,2,23-09-1908
1908-09-24,24091908,1908,9,24,3,3,24-09-1908
1908-09-25,25091908,1908,9,25,3,4,25-09-1908
1908-09-26,26091908,1908,9,26,3,5,26-09-1908
1908-09-27,27091908,1908,9,27,3,6,27-09-1908
1908-09-28,28091908,1908,9,28,3,0,28-09-1908
1908-09-29,29091908,1908,9,29,3,1,29-09-1908
1908-09-30,30091908,1908,9,30,3,2,30-09-1908
1908-10-01,1101908,1908,10,1,4,3,01-10-1908
1908-10-02,2101908,1908,10,2,4,4,02-10-1908
1908-10-03,3101908,1908,10,3,4,5,03-10-1908
1908-10-04,4101908,1908,10,4,4,6,04-10-1908
1908-10-05,5101908,1908,10,5,4,0,05-10-1908
1908-10-06,6101908,1908,10,6,4,1,06-10-1908
1908-10-07,7101908,1908,10,7,4,2,07-10-1908
1908-10-08,8101908,1908,10,8,4,3,08-10-1908
1908-10-09,9101908,1908,10,9,4,4,09-10-1908
1908-10-10,10101908,1908,10,10,4,5,10-10-1908
1908-10-11,11101908,1908,10,11,4,6,11-10-1908
1908-10-12,12101908,1908,10,12,4,0,12-10-1908
1908-10-13,13101908,1908,10,13,4,1,13-10-1908
1908-10-14,14101908,1908,10,14,4,2,14-10-1908
1908-10-15,15101908,1908,10,15,4,3,15-10-1908
1908-10-16,16101908,1908,10,16,4,4,16-10-1908
1908-10-17,17101908,1908,10,17,4,5,17-10-1908
1908-10-18,18101908,1908,10,18,4,6,18-10-1908
1908-10-19,19101908,1908,10,19,4,0,19-10-1908
1908-10-20,20101908,1908,10,20,4,1,20-10-1908
1908-10-21,21101908,1908,10,21,4,2,21-10-1908
1908-10-22,22101908,1908,10,22,4,3,22-10-1908
1908-10-23,23101908,1908,10,23,4,4,23-10-1908
1908-10-24,24101908,1908,10,24,4,5,24-10-1908
1908-10-25,25101908,1908,10,25,4,6,25-10-1908
1908-10-26,26101908,1908,10,26,4,0,26-10-1908
1908-10-27,27101908,1908,10,27,4,1,27-10-1908
1908-10-28,28101908,1908,10,28,4,2,28-10-1908
1908-10-29,29101908,1908,10,29,4,3,29-10-1908
1908-10-30,30101908,1908,10,30,4,4,30-10-1908
1908-10-31,31101908,1908,10,31,4,5,31-10-1908
1908-11-01,1111908,1908,11,1,4,6,01-11-1908
1908-11-02,2111908,1908,11,2,4,0,02-11-1908
1908-11-03,3111908,1908,11,3,4,1,03-11-1908
1908-11-04,4111908,1908,11,4,4,2,04-11-1908
1908-11-05,5111908,1908,11,5,4,3,05-11-1908
1908-11-06,6111908,1908,11,6,4,4,06-11-1908
1908-11-07,7111908,1908,11,7,4,5,07-11-1908
1908-11-08,8111908,1908,11,8,4,6,08-11-1908
1908-11-09,9111908,1908,11,9,4,0,09-11-1908
1908-11-10,10111908,1908,11,10,4,1,10-11-1908
1908-11-11,11111908,1908,11,11,4,2,11-11-1908
1908-11-12,12111908,1908,11,12,4,3,12-11-1908
1908-11-13,13111908,1908,11,13,4,4,13-11-1908
1908-11-14,14111908,1908,11,14,4,5,14-11-1908
1908-11-15,15111908,1908,11,15,4,6,15-11-1908
1908-11-16,16111908,1908,11,16,4,0,16-11-1908
1908-11-17,17111908,1908,11,17,4,1,17-11-1908
1908-11-18,18111908,1908,11,18,4,2,18-11-1908
1908-11-19,19111908,1908,11,19,4,3,19-11-1908
1908-11-20,20111908,1908,11,20,4,4,20-11-1908
1908-11-21,21111908,1908,11,21,4,5,21-11-1908
1908-11-22,22111908,1908,11,22,4,6,22-11-1908
1908-11-23,23111908,1908,11,23,4,0,23-11-1908
1908-11-24,24111908,1908,11,24,4,1,24-11-1908
1908-11-25,25111908,1908,11,25,4,2,25-11-1908
1908-11-26,26111908,1908,11,26,4,3,26-11-1908
1908-11-27,27111908,1908,11,27,4,4,27-11-1908
1908-11-28,28111908,1908,11,28,4,5,28-11-1908
1908-11-29,29111908,1908,11,29,4,6,29-11-1908
1908-11-30,30111908,1908,11,30,4,0,30-11-1908
1908-12-01,1121908,1908,12,1,4,1,01-12-1908
1908-12-02,2121908,1908,12,2,4,2,02-12-1908
1908-12-03,3121908,1908,12,3,4,3,03-12-1908
1908-12-04,4121908,1908,12,4,4,4,04-12-1908
1908-12-05,5121908,1908,12,5,4,5,05-12-1908
1908-12-06,6121908,1908,12,6,4,6,06-12-1908
1908-12-07,7121908,1908,12,7,4,0,07-12-1908
1908-12-08,8121908,1908,12,8,4,1,08-12-1908
1908-12-09,9121908,1908,12,9,4,2,09-12-1908
1908-12-10,10121908,1908,12,10,4,3,10-12-1908
1908-12-11,11121908,1908,12,11,4,4,11-12-1908
1908-12-12,12121908,1908,12,12,4,5,12-12-1908
1908-12-13,13121908,1908,12,13,4,6,13-12-1908
1908-12-14,14121908,1908,12,14,4,0,14-12-1908
1908-12-15,15121908,1908,12,15,4,1,15-12-1908
1908-12-16,16121908,1908,12,16,4,2,16-12-1908
1908-12-17,17121908,1908,12,17,4,3,17-12-1908
1908-12-18,18121908,1908,12,18,4,4,18-12-1908
1908-12-19,19121908,1908,12,19,4,5,19-12-1908
1908-12-20,20121908,1908,12,20,4,6,20-12-1908
1908-12-21,21121908,1908,12,21,4,0,21-12-1908
1908-12-22,22121908,1908,12,22,4,1,22-12-1908
1908-12-23,23121908,1908,12,23,4,2,23-12-1908
1908-12-24,24121908,1908,12,24,4,3,24-12-1908
1908-12-25,25121908,1908,12,25,4,4,25-12-1908
1908-12-26,26121908,1908,12,26,4,5,26-12-1908
1908-12-27,27121908,1908,12,27,4,6,27-12-1908
1908-12-28,28121908,1908,12,28,4,0,28-12-1908
1908-12-29,29121908,1908,12,29,4,1,29-12-1908
1908-12-30,30121908,1908,12,30,4,2,30-12-1908
1908-12-31,31121908,1908,12,31,4,3,31-12-1908
1909-01-01,1011909,1909,1,1,1,4,01-01-1909
1909-01-02,2011909,1909,1,2,1,5,02-01-1909
1909-01-03,3011909,1909,1,3,1,6,03-01-1909
1909-01-04,4011909,1909,1,4,1,0,04-01-1909
1909-01-05,5011909,1909,1,5,1,1,05-01-1909
1909-01-06,6011909,1909,1,6,1,2,06-01-1909
1909-01-07,7011909,1909,1,7,1,3,07-01-1909
1909-01-08,8011909,1909,1,8,1,4,08-01-1909
1909-01-09,9011909,1909,1,9,1,5,09-01-1909
1909-01-10,10011909,1909,1,10,1,6,10-01-1909
1909-01-11,11011909,1909,1,11,1,0,11-01-1909
1909-01-12,12011909,1909,1,12,1,1,12-01-1909
1909-01-13,13011909,1909,1,13,1,2,13-01-1909
1909-01-14,14011909,1909,1,14,1,3,14-01-1909
1909-01-15,15011909,1909,1,15,1,4,15-01-1909
1909-01-16,16011909,1909,1,16,1,5,16-01-1909
1909-01-17,17011909,1909,1,17,1,6,17-01-1909
1909-01-18,18011909,1909,1,18,1,0,18-01-1909
1909-01-19,19011909,1909,1,19,1,1,19-01-1909
1909-01-20,20011909,1909,1,20,1,2,20-01-1909
1909-01-21,21011909,1909,1,21,1,3,21-01-1909
1909-01-22,22011909,1909,1,22,1,4,22-01-1909
1909-01-23,23011909,1909,1,23,1,5,23-01-1909
1909-01-24,24011909,1909,1,24,1,6,24-01-1909
1909-01-25,25011909,1909,1,25,1,0,25-01-1909
1909-01-26,26011909,1909,1,26,1,1,26-01-1909
1909-01-27,27011909,1909,1,27,1,2,27-01-1909
1909-01-28,28011909,1909,1,28,1,3,28-01-1909
1909-01-29,29011909,1909,1,29,1,4,29-01-1909
1909-01-30,30011909,1909,1,30,1,5,30-01-1909
1909-01-31,31011909,1909,1,31,1,6,31-01-1909
1909-02-01,1021909,1909,2,1,1,0,01-02-1909
1909-02-02,2021909,1909,2,2,1,1,02-02-1909
1909-02-03,3021909,1909,2,3,1,2,03-02-1909
1909-02-04,4021909,1909,2,4,1,3,04-02-1909
1909-02-05,5021909,1909,2,5,1,4,05-02-1909
1909-02-06,6021909,1909,2,6,1,5,06-02-1909
1909-02-07,7021909,1909,2,7,1,6,07-02-1909
1909-02-08,8021909,1909,2,8,1,0,08-02-1909
1909-02-09,9021909,1909,2,9,1,1,09-02-1909
1909-02-10,10021909,1909,2,10,1,2,10-02-1909
1909-02-11,11021909,1909,2,11,1,3,11-02-1909
1909-02-12,12021909,1909,2,12,1,4,12-02-1909
1909-02-13,13021909,1909,2,13,1,5,13-02-1909
1909-02-14,14021909,1909,2,14,1,6,14-02-1909
1909-02-15,15021909,1909,2,15,1,0,15-02-1909
1909-02-16,16021909,1909,2,16,1,1,16-02-1909
1909-02-17,17021909,1909,2,17,1,2,17-02-1909
1909-02-18,18021909,1909,2,18,1,3,18-02-1909
1909-02-19,19021909,1909,2,19,1,4,19-02-1909
1909-02-20,20021909,1909,2,20,1,5,20-02-1909
1909-02-21,21021909,1909,2,21,1,6,21-02-1909
1909-02-22,22021909,1909,2,22,1,0,22-02-1909
1909-02-23,23021909,1909,2,23,1,1,23-02-1909
1909-02-24,24021909,1909,2,24,1,2,24-02-1909
1909-02-25,25021909,1909,2,25,1,3,25-02-1909
1909-02-26,26021909,1909,2,26,1,4,26-02-1909
1909-02-27,27021909,1909,2,27,1,5,27-02-1909
1909-02-28,28021909,1909,2,28,1,6,28-02-1909
1909-03-01,1031909,1909,3,1,1,0,01-03-1909
1909-03-02,2031909,1909,3,2,1,1,02-03-1909
1909-03-03,3031909,1909,3,3,1,2,03-03-1909
1909-03-04,4031909,1909,3,4,1,3,04-03-1909
1909-03-05,5031909,1909,3,5,1,4,05-03-1909
1909-03-06,6031909,1909,3,6,1,5,06-03-1909
1909-03-07,7031909,1909,3,7,1,6,07-03-1909
1909-03-08,8031909,1909,3,8,1,0,08-03-1909
1909-03-09,9031909,1909,3,9,1,1,09-03-1909
1909-03-10,10031909,1909,3,10,1,2,10-03-1909
1909-03-11,11031909,1909,3,11,1,3,11-03-1909
1909-03-12,12031909,1909,3,12,1,4,12-03-1909
1909-03-13,13031909,1909,3,13,1,5,13-03-1909
1909-03-14,14031909,1909,3,14,1,6,14-03-1909
1909-03-15,15031909,1909,3,15,1,0,15-03-1909
1909-03-16,16031909,1909,3,16,1,1,16-03-1909
1909-03-17,17031909,1909,3,17,1,2,17-03-1909
1909-03-18,18031909,1909,3,18,1,3,18-03-1909
1909-03-19,19031909,1909,3,19,1,4,19-03-1909
1909-03-20,20031909,1909,3,20,1,5,20-03-1909
1909-03-21,21031909,1909,3,21,1,6,21-03-1909
1909-03-22,22031909,1909,3,22,1,0,22-03-1909
1909-03-23,23031909,1909,3,23,1,1,23-03-1909
1909-03-24,24031909,1909,3,24,1,2,24-03-1909
1909-03-25,25031909,1909,3,25,1,3,25-03-1909
1909-03-26,26031909,1909,3,26,1,4,26-03-1909
1909-03-27,27031909,1909,3,27,1,5,27-03-1909
1909-03-28,28031909,1909,3,28,1,6,28-03-1909
1909-03-29,29031909,1909,3,29,1,0,29-03-1909
1909-03-30,30031909,1909,3,30,1,1,30-03-1909
1909-03-31,31031909,1909,3,31,1,2,31-03-1909
1909-04-01,1041909,1909,4,1,2,3,01-04-1909
1909-04-02,2041909,1909,4,2,2,4,02-04-1909
1909-04-03,3041909,1909,4,3,2,5,03-04-1909
1909-04-04,4041909,1909,4,4,2,6,04-04-1909
1909-04-05,5041909,1909,4,5,2,0,05-04-1909
1909-04-06,6041909,1909,4,6,2,1,06-04-1909
1909-04-07,7041909,1909,4,7,2,2,07-04-1909
1909-04-08,8041909,1909,4,8,2,3,08-04-1909
1909-04-09,9041909,1909,4,9,2,4,09-04-1909
1909-04-10,10041909,1909,4,10,2,5,10-04-1909
1909-04-11,11041909,1909,4,11,2,6,11-04-1909
1909-04-12,12041909,1909,4,12,2,0,12-04-1909
1909-04-13,13041909,1909,4,13,2,1,13-04-1909
1909-04-14,14041909,1909,4,14,2,2,14-04-1909
1909-04-15,15041909,1909,4,15,2,3,15-04-1909
1909-04-16,16041909,1909,4,16,2,4,16-04-1909
1909-04-17,17041909,1909,4,17,2,5,17-04-1909
1909-04-18,18041909,1909,4,18,2,6,18-04-1909
1909-04-19,19041909,1909,4,19,2,0,19-04-1909
1909-04-20,20041909,1909,4,20,2,1,20-04-1909
1909-04-21,21041909,1909,4,21,2,2,21-04-1909
1909-04-22,22041909,1909,4,22,2,3,22-04-1909
1909-04-23,23041909,1909,4,23,2,4,23-04-1909
1909-04-24,24041909,1909,4,24,2,5,24-04-1909
